tournament,date,home_team,away_team,market,line,over_odds,under_odds,book,is_closing,source_url
FIFA World Cup,2022-11-29,netherlands,qatar,match_total,3.5,2.38,1.7,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,netherlands,qatar,match_total,4.5,3.95,1.31,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,netherlands,qatar,match_total,5.5,8.0,1.12,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,ecuador,senegal,match_total,0.5,1.13,7.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,ecuador,senegal,match_total,1.5,1.55,2.6,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,ecuador,senegal,match_total,2.5,2.7,1.6,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,ecuador,senegal,match_total,3.5,5.6,1.18,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,ecuador,senegal,match_total,4.5,13.0,1.06,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,ecuador,senegal,match_total,5.5,40.0,1.02,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,iran,united_states,match_total,0.5,1.09,9.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,iran,united_states,match_total,1.5,1.42,3.1,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,iran,united_states,match_total,2.5,2.33,1.67,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,iran,united_states,match_total,3.5,4.5,1.25,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,iran,united_states,match_total,4.5,10.5,1.09,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,iran,united_states,match_total,5.5,24.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,wales,england,match_total,0.5,1.07,11.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,wales,england,match_total,1.5,1.35,3.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,wales,england,match_total,2.5,2.05,1.85,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,wales,england,match_total,3.5,3.7,1.33,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
